comm_type,comm_group,comm_group_size,msg_size,stage,dst,src,additional,_elapsed_time,algbw,busbw,count
CommType.all_reduce,CommGroup.dp_group,1,8,init.model_setup,None,None,,37.71263885498047,0.0,0.0,1
CommType.all_reduce,CommGroup.dp_group,1,8,init.model_setup,None,None,,0.16140800714492798,0.0,0.0,1
CommType.all_reduce,CommGroup.dp_group,1,8,init.model_setup,None,None,,0.0764160007238388,0.0,0.0,1
CommType.all_reduce,CommGroup.dp_group,1,8,init.model_setup,None,None,,0.06758400052785873,0.0,0.0,1
CommType.all_gather,CommGroup.dp_group,1,32,init.model_setup,None,None,,0.08959999680519104,0.0,0.0,1
CommType.broadcast,CommGroup.tp_group,2,24,init.model_setup,None,0,,36.036224365234375,0.0,0.0,1
CommType.all_gather,CommGroup.dp_group,1,64,init.model_setup,None,None,,0.13123199343681335,0.0,0.0,1
CommType.epoch_end,None,None,0,,None,None,,6708.117723464966,0.0,0.0,1
CommType.broadcast,CommGroup.tp_group,2,40,forward_step,None,0,,0.10649599879980087,0.0,0.0,1
CommType.broadcast,CommGroup.tp_group,2,16400,forward_step,None,0,,0.08323200047016144,0.18,0.18,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronEmbedding,None,None,,0.5324479937553406,14.67,14.67,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.01532800029963255,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.012415999546647072,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,0.5148159861564636,15.18,15.18,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,0.013472000136971474,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,0.01206399966031313,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,0.5108799934387207,15.29,15.29,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.013407999649643898,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.012384000234305859,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,0.5136319994926453,15.21,15.21,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,0.012959999963641167,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,0.012415999546647072,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,0.509440004825592,15.34,15.34,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.013055999763309956,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.012223999947309494,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,0.5074880123138428,15.39,15.39,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,0.013024000450968742,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,0.011455999687314034,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,0.5076479911804199,15.39,15.39,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.012703999876976013,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.01196799986064434,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,0.5046399831771851,15.48,15.48,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,0.012671999633312225,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,0.012256000190973282,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,0.5060160160064697,15.44,15.44,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.012927999719977379,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.012032000347971916,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,0.5044159889221191,15.49,15.49,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,0.012927999719977379,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,0.012000000104308128,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,0.50518399477005,15.46,15.46,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.013376000337302685,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.01228800043463707,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,0.5058240294456482,15.45,15.45,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,0.012896000407636166,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,0.012128000147640705,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,0.5050879716873169,15.47,15.47,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.013151999562978745,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.012256000190973282,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,0.5111680030822754,15.28,15.28,1
