comm_type,comm_group,comm_group_size,msg_size,stage,dst,src,additional,_elapsed_time,algbw,busbw,count
CommType.all_reduce,CommGroup.dp_group,1,8,init.model_setup,None,None,,37.44028854370117,0.0,0.0,1
CommType.all_reduce,CommGroup.dp_group,1,8,init.model_setup,None,None,,0.17868800461292267,0.0,0.0,1
CommType.all_reduce,CommGroup.dp_group,1,8,init.model_setup,None,None,,0.07766400277614594,0.0,0.0,1
CommType.all_reduce,CommGroup.dp_group,1,8,init.model_setup,None,None,,0.06646399945020676,0.0,0.0,1
CommType.all_gather,CommGroup.dp_group,1,32,init.model_setup,None,None,,0.0883840024471283,0.0,0.0,1
CommType.broadcast,CommGroup.tp_group,2,24,init.model_setup,None,0,,35.02431869506836,0.0,0.0,1
CommType.all_gather,CommGroup.dp_group,1,64,init.model_setup,None,None,,0.14262400567531586,0.0,0.0,1
CommType.epoch_end,None,None,0,,None,None,,2350.0332832336426,0.0,0.0,1
CommType.broadcast,CommGroup.tp_group,2,40,forward_step,None,0,,0.10889600217342377,0.0,0.0,1
CommType.broadcast,CommGroup.tp_group,2,16400,forward_step,None,0,,0.09040000289678574,0.17,0.17,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronEmbedding,None,None,,0.9689599871635437,16.13,16.13,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.021727999672293663,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.013504000380635262,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9453120231628418,16.53,16.53,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,0.0144640002399683,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,0.013376000337302685,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9371520280838013,16.67,16.67,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.014560000039637089,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.013248000293970108,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9472000002861023,16.5,16.5,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,0.01408000010997057,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,0.013088000006973743,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9373760223388672,16.67,16.67,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.013952000066637993,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.012896000407636166,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9408959746360779,16.61,16.61,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,0.013376000337302685,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,0.012896000407636166,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9351360201835632,16.71,16.71,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.021407999098300934,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.013439999893307686,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9380480051040649,16.66,16.66,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,0.014751999638974667,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,0.017791999503970146,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9568319916725159,16.33,16.33,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.02163200080394745,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.020287999883294106,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9502720236778259,16.44,16.44,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,0.02127999998629093,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,0.01961600035429001,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9464640021324158,16.51,16.51,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.021568000316619873,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.0208320003002882,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9455040097236633,16.53,16.53,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,0.021056000143289566,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,0.019487999379634857,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9474239945411682,16.49,16.49,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.020767999812960625,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.013567999936640263,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9357439875602722,16.7,16.7,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,0.014240000396966934,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,0.012319999746978283,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9369279742240906,16.68,16.68,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.01408000010997057,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.012256000190973282,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.939520001411438,16.63,16.63,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,0.01283199992030859,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,0.012992000207304955,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9345600008964539,16.72,16.72,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.014015999622642994,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.01375999953597784,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9353600144386292,16.7,16.7,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,0.013567999936640263,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,0.01283199992030859,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9351680278778076,16.71,16.71,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.029920000582933426,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.01375999953597784,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9352319836616516,16.71,16.71,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,0.014240000396966934,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,0.013248000293970108,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9336640238761902,16.74,16.74,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.013567999936640263,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.012160000391304493,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9351680278778076,16.71,16.71,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,0.01408000010997057,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,0.012864000163972378,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9382719993591309,16.65,16.65,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.013824000023305416,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.012992000207304955,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9351999759674072,16.71,16.71,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,0.014047999866306782,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,0.012927999719977379,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9332159757614136,16.74,16.74,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,0.020031999796628952,0,0,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,0.012927999719977379,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.9391999840736389,16.64,16.64,1
