comm_type,comm_group,comm_group_size,msg_size,stage,dst,src,additional,_elapsed_time,algbw,busbw,count
CommType.all_reduce,CommGroup.dp_group,1,8,init.model_setup,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.dp_group,1,8,init.model_setup,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.dp_group,1,8,init.model_setup,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.dp_group,1,8,init.model_setup,None,None,,None,None,None,1
CommType.all_gather,CommGroup.dp_group,1,32,init.model_setup,None,None,,None,None,None,1
CommType.broadcast,CommGroup.tp_group,2,24,init.model_setup,None,0,,None,None,None,1
CommType.all_gather,CommGroup.dp_group,1,64,init.model_setup,None,None,,None,None,None,1
CommType.epoch_end,None,None,0,,None,None,,None,None,None,1
CommType.broadcast,CommGroup.tp_group,2,40,forward_step,None,0,,None,None,None,1
CommType.broadcast,CommGroup.tp_group,2,16400,forward_step,None,0,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronEmbedding,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.attention_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.attention_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronColumnLinear.mlp_column,None,None,,None,None,None,1
CommType.computation,None,None,0,forward.MegatronRowLinear.mlp_row,None,None,,None,None,None,1
CommType.all_reduce,CommGroup.tp_group,2,8388608,forward.MegatronRowLinear,None,None,,None,None,None,1
